Solvent,InChIKey,Volume,dD,dP,dH,δt
Methylcyclohexane,UAEPNZWRGJTJPN-UHFFFAOYSA-N,128.2,16,0,1,16.0312195418814
MethyleneIodide,NZZFYRREKKOMAT-UHFFFAOYSA-N,80.5,17.8,3.9,5.5,19
MethylOleate,QYDYPVFESGNLHU-KHPPLWFESA-N,340,14.5,3.9,3.7,15.5
Morpholine,YNAVUWVOSKDBBP-UHFFFAOYSA-N,87.1,18.8,4.9,9.2,21.5
Naphthalene,UFWIBTONFRDIAS-UHFFFAOYSA-N,111.5,19.2,2,5.9,20
Nitrobenzene,LQNUZADURLCDLV-UHFFFAOYSA-N,102.7,20.1,8.6,4.1,22.1
Nitroethane,MCSAJNNLRCFZED-UHFFFAOYSA-N,71.5,16,15.5,4.5,22.7
Nitromethane,LYGJENNIWJXYER-UHFFFAOYSA-N,54.3,15.8,18.8,5.1,25
Nitropropane,JSZOAYXJRCEYSX-UHFFFAOYSA-N,89.5,16.6,12.3,5.5,21.3798970998459
NMethylpyrrolidine,AVFZOVWCLRSYKC-UHFFFAOYSA-N,96.5,18,12.3,7.2,22.9
"N,NDimethylacetamide",FXHOOIRPVKKKFG-UHFFFAOYSA-N,93,16.8,11.5,10.2,22.7712538082557
"N,NDimethylformamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,77,17.4,13.7,11.3,24.8
"N,NDimethylformamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,92.5,16.8,11.5,10.2,22.7
"N,NDimethylhydrazine",RHUYHJGZWVXEHW-UHFFFAOYSA-N,76,15.3,5.9,11,19.8
OctanoicAcid,WWZKQHOCKIZLMA-UHFFFAOYSA-N,159,15.1,3.3,8.2,17.6
OleicAcid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,320,14.3,3.1,5.5,15.8
OleylAlcohol,ALSTYHKOOCGGFT-KTKRTIGZSA-N,316,14.3,2.7,8,16.6
OXylene,CTQNGGLPUBDAKN-UHFFFAOYSA-N,121.2,17.8,1,3.1,18
PentylAcetate,PGMYKACGEOXYJE-UHFFFAOYSA-N,148,15.8,3.3,6.1,17.2551441605105
Phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,87.5,18,5.9,14.9,24.1
Propionitrile,FVSKHRXBFJPNKK-UHFFFAOYSA-N,70.9,15.3,14.3,5.5,21.7
PropylAcetate,YKYONYBAUNKHLG-UHFFFAOYSA-N,115.8,15.3,4.3,7.6,17.616469566857
Propylamine,WGYKZJWCGVVSQN-UHFFFAOYSA-N,83,17,4.9,8.6,19.6
PropyleneCarbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,85,20.1,18,4.1,27.2
PropyleneGlycolMonomethylEtherAcetate,LLHKCFNBLRBOGN-UHFFFAOYSA-N,137.1,15.6,5.6,9.8,19.2551291867907
PropylPropionate,MCSINKKTEDDPNK-UHFFFAOYSA-N,132.5,15.5,5.6,5.7,17.4384632350445
Pyridine,JUJWROOIHBZHMG-UHFFFAOYSA-N,80.9,19,8.8,5.9,21.7
Quinoline,SMWDFEZZVXVKRB-UHFFFAOYSA-N,118,19.4,7,7.6,22.1
Resorcinol,GHMLBKRAJCXXBS-UHFFFAOYSA-N,87.5,18,8.4,21.1,28.8
SecButylAcetate,DCKVNWZUADLDEH-UHFFFAOYSA-N,134,15,3.7,7.6,17.2177234267484
StearicAcid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,326,16.4,3.3,5.5,17.6
Styrene,PPBRXRYQALVLMV-UHFFFAOYSA-N,115.6,18.6,1,4.1,19
SuccinicAnhydride,RINCXYDBBGOEEQ-UHFFFAOYSA-N,66.8,18.6,19.2,16.6,31.5
Sulfolane,HXJUTPCZVOIRIF-UHFFFAOYSA-N,95.3,18,18,9.9,27.3131836298883
TertButanol,DKGAVHZHDRPRBM-UHFFFAOYSA-N,96,15.2,5.1,14.7,21.7517815362328
TertButylAcetate,WMOVHXAZOJBABW-UHFFFAOYSA-N,134.8,15,3.7,6,16.5737744644966
Tetrachloroethylene,CYTYCFOTNPOANT-UHFFFAOYSA-N,101.1,19,6.5,2.9,20.3
Tetrahydrofuran,WYURNTSHIVDZCO-UHFFFAOYSA-N,81.7,16.8,5.7,8,19.4
TetrahydrofurfurylAlcohol,BSYVTEYKTMYBMK-UHFFFAOYSA-N,97.4,17.8,8.2,12.9,23.4625233084594
Tetramethylurea,AVQQQNCBBIEMEU-UHFFFAOYSA-N,120.4,16.8,8.2,11,21.7
Toluene,YXFVVABEGXRONW-UHFFFAOYSA-N,106.8,18,1.4,2,18.2
TributylPhosphate,STCOOQWBFONSKY-UHFFFAOYSA-N,345,16.4,6.3,4.3,18
Trichloroethylene,XSTXAVWGXDQKEL-UHFFFAOYSA-N,90.2,18,3.1,5.3,19
Trichlorofluoromethane,CYRMSUTZVYGINF-UHFFFAOYSA-N,92.8,15.3,2,0,15.5
TricresylPhosphate,YACDDVCMSPGAQK-UHFFFAOYSA-N,613,19,12.3,4.5,23.1
TriethylPhosphate,DQWPFSLDHJDLRL-UHFFFAOYSA-N,171,16.8,11.5,9.2,22.3
TrifluoromethylUndecafluorocyclohexane,QIROQPWSJUXOJC-UHFFFAOYSA-N,196,12.5,0,0,12.5
TrifluoromethylUndecafluorocyclohexane,QIROQPWSJUXOJC-UHFFFAOYSA-N,217.4,12.5,0,0,12.5
TrimethylPhosphate,WVLBCYQITXONBZ-UHFFFAOYSA-N,99.9,16.8,16,10.2,25.4
Water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18,15.5,16,42.4,47.9
