old_name,InChIKey,Volume,dD,dP,dH,δt,Solvent,CHO
Dimethyl Sulfone,HHVIBTZHLRERCL-UHFFFAOYSA-N,75.0,19.0,19.4,12.3,29.9,Dimethyl sulfone,False
Dimethyl Sulfoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,71.3,18.4,16.4,10.2,26.6,Dimethyl Sulfoxide (DMSO),False
Di-N-Octyl Phthalate,MQIUGAXCHLFZKX-UHFFFAOYSA-N,277.0,16.6,7.0,3.1,18.2,Di-n-octyl phthalate,True
Dipropylamine,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,136.9,15.3,1.4,4.1,16.0,Dipropylamine,False
Dipropylene Glycol,AZUXKVXMJOIAOF-UHFFFAOYSA-N,131.8,16.5,10.6,17.7,26.4177970315467,Dipropylene glycol,True
Di-Propylene Glycol Butyl Ether,CUVLMZNMSPJDON-UHFFFAOYSA-N,211.2,15.7,6.5,10.0,19.7164905599348,Dipropylene glycol butyl ether,True
DL-Limonene,XMGQYMWWDOXHJM-UHFFFAOYSA-N,162.9,17.2,1.8,4.3,17.8204938203182,DL-Limonene,True
Dowanol Dpm,CUDYYMUUJHLCGZ-UHFFFAOYSA-N,156.1,15.5,5.7,11.2,19.9544481256686,Dipropylene glycol methyl ether,True
Epichlorohydrin,BRLQWZUYTZBJKN-UHFFFAOYSA-N,79.9,19.0,10.2,3.7,21.9,Epichlorohydrin,False
Ethanethiol,DNJIEGIFACGWOD-UHFFFAOYSA-N,74.3,15.8,6.5,7.2,18.4,Ethanethiol,False
Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,58.6,15.8,8.8,19.4,26.5224433263604,Ethanol,True
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,58.5,15.8,8.8,19.4,26.6,Ethanolamine,False
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,60.2,17.2,15.5,21.3,31.5,Ethanolamine,False
Ethyl Acetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,98.5,15.8,5.3,7.2,18.2,Ethyl acetate,True
Ethylbenzene,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,123.1,17.8,0.6,1.4,17.8,Ethylbenzene,True
Ethyl Chloroformate,RIFGWPKJUGCATF-UHFFFAOYSA-N,95.6,15.5,10.0,6.8,19.6,Ethyl chloroformate,False
Ethyl Cinnamate,KBEBGUQPQBELIU-CMDGGOBGSA-N,166.8,18.4,8.2,4.1,20.5,Ethyl cinnamate,True
Ethylene Carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,66.0,19.4,21.7,5.1,29.5,Ethylene carbonate,True
Ethylenediamine,PIICEJLVQHRZGT-UHFFFAOYSA-N,67.3,16.6,8.8,17.0,25.4,Ethylenediamine,False
Ethylene Glycol,LYCAIKOWRPUZTN-UHFFFAOYSA-N,55.9,17.0,11.0,26.0,32.9545141065682,Ethylene glycol,True
Ethylene Glycol Butyl Ether,POAOYUHQDCAZBD-UHFFFAOYSA-N,131.6,16.0,5.1,12.3,20.9,Ethylene glycol butyl ether,True
Ethylene Glycol Monophenyl Ether,QCDWFXQBSFUVSP-UHFFFAOYSA-N,124.7,17.8,5.7,14.3,23.5333805476391,Ethylene glycol phenyl ether,True
Ethyl Formate,WBJINCZRORDGAQ-UHFFFAOYSA-N,80.2,15.5,8.4,8.4,19.6,Ethyl formate,True
Ethyl Lactate,LZCLXQDLBQLTDK-BYPYZUCNSA-N,115.0,16.0,7.6,12.5,21.7,Ethyl lactate,True
Formamide,ZHNUHDYFZUAESO-UHFFFAOYSA-N,39.8,17.2,26.2,19.0,36.6,Formamide,True
Formic Acid,BDAGIHXWWSANSR-UHFFFAOYSA-N,37.8,14.3,11.9,16.6,25.0,Formic acid,True
Furan,YLQBMQCUIZJEEH-UHFFFAOYSA-N,72.5,17.8,1.8,5.3,18.6,Furan,True
Furfuryl Alcohol,XPFVYQJUAUNWIW-UHFFFAOYSA-N,86.5,17.4,7.6,15.1,24.3,Furfuryl alcohol,True
Gamma-Butyrolactone,YEJRWHAVMIAJKC-UHFFFAOYSA-N,76.5,18.0,16.6,7.4,25.5796794350516,γ-Butyrolactone (GBL),True
Heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,147.0,15.3,0.0,0.0,15.3,Heptane,True
Hexadecafluoroheptane,LGUZHRODIJCVOC-UHFFFAOYSA-N,227.3,12.1,0.0,0.0,12.1,Hexadecafluoroheptane,False
Hexamethylphosphoramide,GNOIPBMMFNIUFM-UHFFFAOYSA-N,175.7,18.4,8.6,11.3,23.3,Hexamethylphosphoramide,False
Hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,131.4,14.9,0.0,0.0,14.9,Hexane,True
Isobutyl Acetate,GJRQTCIYDGXPES-UHFFFAOYSA-N,133.5,15.1,3.7,6.3,16.8,Isobutyl acetate,True
Isobutyl Isobutyrate,RXGUIWHIADMCFC-UHFFFAOYSA-N,169.8,15.1,2.8,5.8,16.4161505841047,Isobutyl isobutyrate,True
Isopentyl Acetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,148.8,15.3,3.1,7.0,17.2,Isopentyl acetate,True
Isophorone,HJOVHMDZYOCNQW-UHFFFAOYSA-N,150.5,16.6,8.2,7.4,19.8,Isophorone,True
Isopropyl Acetate,JMMWKPVZQRWMSS-UHFFFAOYSA-N,117.1,14.9,4.5,8.2,17.5926120857592,Isopropyl acetate,True
Isopropyl Palmitate,XUGNVMKQXJXZCD-UHFFFAOYSA-N,330.0,14.3,3.9,3.7,15.3,Isopropyl palmitate,True
M-Cresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,105.0,18.5,6.5,13.7,23.92049330595,m-Cresol,True
Mesitylene,AUHZEENZYGFFBQ-UHFFFAOYSA-N,139.8,18.0,0.0,0.6,18.0,Mesitylene,True
Mesityl Oxide,SHOJXDKTYKFBRD-UHFFFAOYSA-N,115.6,16.4,7.2,6.1,18.8,Mesityl oxide,True
Methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,40.7,15.1,12.3,22.3,29.7,Methanol,True
Methyl Acetate,KXKVLQRXCPHEJC-UHFFFAOYSA-N,79.7,15.5,7.2,7.6,18.8,Methyl acetate,True
Methylcyclohexane,UAEPNZWRGJTJPN-UHFFFAOYSA-N,128.2,16.0,0.0,1.0,16.0312195418814,Methylcyclohexane,True
Methylene Iodide,NZZFYRREKKOMAT-UHFFFAOYSA-N,80.5,17.8,3.9,5.5,19.0,Methylene iodide,False
Methyl Oleate,QYDYPVFESGNLHU-KHPPLWFESA-N,340.0,14.5,3.9,3.7,15.5,Methyl oleate,True
Morpholine,YNAVUWVOSKDBBP-UHFFFAOYSA-N,87.1,18.8,4.9,9.2,21.5,Morpholine,False
Naphthalene,UFWIBTONFRDIAS-UHFFFAOYSA-N,111.5,19.2,2.0,5.9,20.0,Naphthalene,True
Nitrobenzene,LQNUZADURLCDLV-UHFFFAOYSA-N,102.7,20.1,8.6,4.1,22.1,Nitrobenzene,False
Nitroethane,MCSAJNNLRCFZED-UHFFFAOYSA-N,71.5,16.0,15.5,4.5,22.7,Nitroethane,False
Nitromethane,LYGJENNIWJXYER-UHFFFAOYSA-N,54.3,15.8,18.8,5.1,25.0,Nitromethane,False
Nitropropane,JSZOAYXJRCEYSX-UHFFFAOYSA-N,89.5,16.6,12.3,5.5,21.3798970998459,Nitropropane,False
N-Methylpyrrolidine,AVFZOVWCLRSYKC-UHFFFAOYSA-N,96.5,18.0,12.3,7.2,22.9,N-Methylpyrrolidine,False
"N,N-Dimethylacetamide",FXHOOIRPVKKKFG-UHFFFAOYSA-N,93.0,16.8,11.5,10.2,22.7712538082557,"N,N-Dimethylacetamide",True
"N,N-Dimethylformamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,77.0,17.4,13.7,11.3,24.8,"N,N-Dimethylformamide",True
"N,N-Dimethylformamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,92.5,16.8,11.5,10.2,22.7,"N,N-Dimethylformamide",True
"N,N-Dimethylhydrazine",RHUYHJGZWVXEHW-UHFFFAOYSA-N,76.0,15.3,5.9,11.0,19.8,"N,N-Dimethylhydrazine",True
Octanoic Acid,WWZKQHOCKIZLMA-UHFFFAOYSA-N,159.0,15.1,3.3,8.2,17.6,Octanoic acid,True
Oleic Acid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,320.0,14.3,3.1,5.5,15.8,Oleic acid,True
Oleyl Alcohol,ALSTYHKOOCGGFT-KTKRTIGZSA-N,316.0,14.3,2.7,8.0,16.6,Oleyl alcohol,True
O-Xylene,CTQNGGLPUBDAKN-UHFFFAOYSA-N,121.2,17.8,1.0,3.1,18.0,o-Xylene,True
Pentyl Acetate,PGMYKACGEOXYJE-UHFFFAOYSA-N,148.0,15.8,3.3,6.1,17.2551441605105,Pentyl acetate,True
Phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,87.5,18.0,5.9,14.9,24.1,Phenol,True
Propionitrile,FVSKHRXBFJPNKK-UHFFFAOYSA-N,70.9,15.3,14.3,5.5,21.7,Propionitrile,False
Propyl Acetate,YKYONYBAUNKHLG-UHFFFAOYSA-N,115.8,15.3,4.3,7.6,17.616469566857,Propyl acetate,True
Propylamine,WGYKZJWCGVVSQN-UHFFFAOYSA-N,83.0,17.0,4.9,8.6,19.6,Propylamine,False
Propylene Carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,85.0,20.1,18.0,4.1,27.2,Propylene carbonate,True
Propylene Glycol Monomethyl Ether Acetate,LLHKCFNBLRBOGN-UHFFFAOYSA-N,137.1,15.6,5.6,9.8,19.2551291867907,Propylene glycol methyl ether acetate,True
Propyl Propionate,MCSINKKTEDDPNK-UHFFFAOYSA-N,132.5,15.5,5.6,5.7,17.4384632350445,Propyl propionate,True
Pyridine,JUJWROOIHBZHMG-UHFFFAOYSA-N,80.9,19.0,8.8,5.9,21.7,Pyridine,False
Quinoline,SMWDFEZZVXVKRB-UHFFFAOYSA-N,118.0,19.4,7.0,7.6,22.1,Quinoline,True
Resorcinol,GHMLBKRAJCXXBS-UHFFFAOYSA-N,87.5,18.0,8.4,21.1,28.8,Resorcinol,True
Sec-Butyl Acetate,DCKVNWZUADLDEH-UHFFFAOYSA-N,134.0,15.0,3.7,7.6,17.2177234267484,sec-Butyl acetate,True
Stearic Acid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,326.0,16.4,3.3,5.5,17.6,Stearic acid,True
Styrene,PPBRXRYQALVLMV-UHFFFAOYSA-N,115.6,18.6,1.0,4.1,19.0,Styrene,True
