No.,Formula,Solvent,Name (French),CAS,Hansen Set,Green Set,dD,dP,dH,CMR,I_low,T_b,CHO
75,C6H4Cl2,o-Dichlorobenzene,o-Dichlorobenzène,95-50-1,X,,19.2,6.3,3.3,-,3,180,False
76,C6H5Cl,Chlorobenzene,Chlorobenzène,108-90-7,X,,19,4.3,2,-,4,132,False
77,C6H5NO2,Nitrobenzene,Nitrobenzène,98-95-3,X,,20,10.6,3.1,2,3,211,False
78,C6H6,Benzene,Benzène,71-43-2,X,,18.4,0,2,1A,4,80,True
79,C6H6O3,5-(Hydroxymethyl)furfural,5-(Hydroxymethyl)furfural,67-47-0,X,,18.1,14.1,18.7,-,4,261,True
80,C6H7N,Aniline,Aniline,62-53-3,X,,20.1,5.8,11.2,2,3,184,False
81,C6H10O,Cyclohexanone,Cyclohexanone,108-94-1,X,,17.8,8.4,5.1,-,4,156,True
82,C6H10O,4-Methylpent-3-en-2-one,4-Methylpent-3-ène-2-one,141-79-7,X,,16.4,7.2,5,-,4,130,True
83,C6H10O4,Dimethyl succinate,Succinate de diméthyle,106-65-0,X,,16.1,7.7,8.8,-,5,195,True
84,C6H11Cl,Chlorocyclohexane,Chlorocyclohexane,542-18-7,X,,17.3,5.5,2,-,4,142,False
85,C6H12,Cyclohexane,Cyclohexane,110-82-7,X,X,16.8,0,0.2,-,5,81,True
86,C6H12N2O,"N,N'-Dimethylpropylurea","N,N'-Diméthylpropylurée",7226-23-5,X,,17.4,10.2,8.5,2,5,246,False
87,C6H12O,Methoxycyclopentane,Méthoxycyclopentane,5614-37-9,X,,16.7,4.3,4.3,-,4,105,True
88,C6H12O,Cyclohexanol,Cyclohexanol,108-93-0,X,X,17.4,4.1,13.5,-,4,161,True
89,C6H12O,4-Methylpentan-2-one,4-Methylpentan-2-one,108-10-1,X,,15.3,6.1,4.1,-,4,117,True
90,C6H12O2,Diacetone alcohol,Diacétone-alcool,123-42-2,X,,15.8,8.2,10.8,-,4,168,True
91,C6H12O2,n-Butyl acetate,Acétate de n-butyle,123-86-4,X,,15.8,3.7,6.3,-,2,126,True
92,C6H12O2,Isobutyl acetate,Acétate d'isobutyle,110-19-0,X,,15.1,3.7,6.3,-,5,117,True
93,C6H12O3,Solketal,Solketal,100-79-8,X,,16,7.2,19.3,-,5,189,True
94,C6H12O3,2-Ethoxyethyl acetate,Acétate de 2-éthoxyéthyle,111-15-9,X,,15.9,4.7,10.6,1B,4,156,True
95,C6H13N,Cyclohexanamine,Cyclohexanamine,108-91-8,X,,17.2,3.1,6.5,2,2,134,False
96,C6H14,n-Hexane,n-Hexane,110-54-3,X,(X),14.9,0,0,2,6,69,True
97,C7H16,n-Heptane,n-Heptane,142-82-5,X,X,15.3,0,0,-,6,98,True
98,C6H14O,2-Ethyl-1-butanol,2-Éthyl-1-butanol,97-95-0,X,,15.8,4.3,13.5,-,4,147,True
99,C6H14O,4-Methylpentan-2-ol,4-Methylpentan-2-ol,108-11-2,X,,15.4,3.3,12.3,-,4,132,True
100,C6H14O2,3-Methoxy-3-methylbutan-1-ol,3-Méthoxy-3-méthylbutan-1-ol,56539-66-3,X,,16,6.3,12.9,-,4,173,True
101,C6H14O2,2-Butoxyethanol,2-Butoxyéthanol,111-76-2,X,,16,5.1,12.3,-,3,170,True
102,C6H14O3,Dipropylene glycol,Dipropylène glycol,2396-61-4,X,,16.5,10.6,17.7,-,5,264,True
103,C6H14O3,Diglyme,Diglyme,111-96-6,X,,15.7,6.1,6.5,1B,5,160,True
104,C6H14O3,"1,2,3-Trimethoxypropane","1,2,3-Triméthoxypropane",20637-49-4,X,,15.5,5.7,7.5,-,4,143,True
105,C6H14O4,Triethylene glycol,Triéthylène glycol,112-27-6,X,,16,12.5,18.6,-,6,288,True
106,C6H15N,Dipropylamine,Dipropylamine,142-84-7,X,,15.3,1.4,4.1,-,3,109,False
107,C7H6O,Benzaldehyde,Benzaldéhyde,100-52-7,X,,19.4,7.4,5.3,-,4,179,True
108,C7H8,Toluene,Toluène,108-88-3,X,,18,1.4,2,2,4,111,True
109,C7H8O,Benzyl alcohol,Alcool benzylique,100-51-6,X,,18.4,6.3,13.7,-,4,205,True
110,C7H8O,m-Cresol,m-Crésol,108-39-4,X,,18.5,6.5,13.7,-,3,202,True
111,C7H12O4,Dimethyl glutarate,Glutarate de diméthyle,1119-40-0,X,,16.1,7.7,8.3,-,5,211,True
112,C7H14O,5-Methylhexan-2-one,5-Méthylhexane-2-one,110-12-3,X,,16,5.7,4.1,-,4,144,True
113,C7H14O2,Isoamyl acetate,Acétate d'isoamyle,123-92-2,X,,15.3,3.1,7,-,6,142,True
114,C7H14O3,Butyl lactate,Lactate de butyle,138-22-7,X,,15.8,6.5,10.2,-,5,189,True
115,C7H16O3,"3-Butoxypropane-1,2-diol","3-Butoxypropane-1,2-diol",624-52-2,X,,16.1,8.2,19.6,-,5,270,True
116,C7H16O3,"2-Butoxypropane-1,3-diol","2-Butoxypropane-1,3-diol",100078-36-2,X,,16.1,8.2,19.6,-,5,260,True
117,C7H16O3,"1,3-Diethoxypropane-2-ol","1,3-Diéthoxypropane-2-ol",4043-59-8,X,,15.4,6.3,6,-,4,210,True
118,C7H16O3,"2,3-Diethoxypropan-1-ol","2,3-Diéthoxypropan-1-ol",4756-20-1,X,,15.8,6.4,11.2,-,5,220,True
119,C8F18,Perfluorooctane,Perfluorooctane,307-34-6,X,,12.7,0,0,-,3,103,False
120,C8H8,Styrene,Styrène,100-42-5,X,,18.6,1,4.1,-,4,145,True
121,C8H8O,Acetophenone,Acétophénone,98-86-2,X,,18.8,9,4,-,4,202,True
122,C8H10,o-Xylene,o-Xylène,95-47-6,X,,17.8,1,3.1,-,4,144,True
123,C8H10,p-Xylene,p-Xylène,106-42-3,X,,17.8,1,3.1,-,4,138,True
124,C8H10,Ethylbenzene,Éthylbenzène,100-41-4,X,,17.8,0.6,1.4,-,4,136,True
125,C8H14O4,Dimethyl isosorbide,Diméthyl isosorbide,5306-85-4,X,,17.6,7.1,7.5,-,5,236,True
126,C8H14O4,Diethyl succinate,Succinate de diéthyle,123-25-1,X,,16.2,6.8,8.7,-,5,218,True
127,C8H14O4,Dimethyl adipate,Adipate de diméthyle,627-93-0,X,,16.3,6.8,8.5,-,4,229,True
128,C8H14O4,Dimethyl ethylsuccinate,Éthylsuccinate de diméthyle,14035-95-1,X,,16,5.5,8.4,-,5,204,True
129,C8H14O4,Dimethyl 2-methylglutarate,2-Méthylglutarate de diméthyle,14035-94-0,X,,16.6,8.7,5,-,4,223,True
130,C8H16O2,Isobutyl isobutyrate,Isobutyrate d'isobutyle,97-85-8,X,,15.1,2.8,5.8,-,5,148,True
131,C8H18O,Octan-1-ol,Octan-1-ol,111-87-5,X,,16,5,11.2,-,4,195,True
132,C8H18O,2-Ethylhexanol,2-Éthyl-hexanol,104-76-7,X,,15.9,3.3,11.8,-,4,184,True
133,C8H18O3,Butyldiglycol,Butyldiglycol,112-34-5,X,,16,7,10.6,-,5,230,True
134,C8H24O4Si4,Octamethylcyclotetrasiloxane,Octaméthylcyclotetrasiloxane,556-67-2,X,,12.8,1.3,1,2,4,175,False
135,C9H14O,Isophorone,Isophorone,78-59-1,X,,17,8,5,2,4,215,True
136,C9H14O6,Triacetin,Triacétate de glycérol,102-76-1,X,,16.5,4.5,9.1,-,4,258,True
