No,old_name,Solvent,CAS,dD,dP,dH,Tb,CHO
228,2-Methyl-2-Butene,2-Methyl-2-butene,513-35-9,14.7,2,2.9,,False
229,2-Methylfuran,2-Methylfuran,534-22-5,17.3,2.8,7.4,,True
230,2-Nitro-1-Propanol,2-Nitro-1-propanol,2902-96-7,16.1,13.7,15.4,,False
231,2-Nitropropane,2-Nitropropane,79-46-9,16.2,12.1,4.1,,False
232,2-Nitrothiophene,2-Nitrothiophene,609-40-5,19.7,16.2,8.2,,False
233,2-Octanol,2-Octanol,123-96-6,16.1,4.9,11,,True
234,2-Oxopyrrolidinacetamid,2-Oxopyrrolidineacetamide,7491-74-9,17.5,15.6,11.2,,False
235,2-Pentanol,2-Pentanol,6032-29-7,15.6,6.4,13.3,,True
236,2-Phenoxy Ethanol,2-Phenoxyethanol,122-99-6,17.8,5.7,14.3,,True
237,2-Phenyl Ethanol,2-Phenylethanol,1960-12-08,18.3,5.6,11.2,,True
238,2-Pinene (dl),dl-2-Pinene,80-56-8,16.9,1.8,3.1,,True
239,2-Propanethiol,2-Propanethiol,75-33-2,16.3,6.8,6.5,,False
240,2-Propanol,2-Propanol (Isopropanol),67-63-0,15.8,6.1,16.4,,True
241,2-Propyn-1-ol,2-Propyn-1-ol,107-19-7,16.1,8.7,18.8,,True
242,2-Pyrrolidone,2-Pyrrolidone,616-45-5,18.2,12,9,,False
243,2-t-Butyl-4-Methyl Phenol,2-t-Butyl-4-methylphenol,2409-55-4,17.3,3.7,10.5,,True
244,2-Thiabutane,2-Thiabutane,624-89-5,16.2,5.9,5.3,,False
245,2-Toluidine,2-Toluidine,95-53-4,19.4,5.8,9.4,,False
246,2-Vinyl Toluene,2-Vinyltoluene,611-15-4,18.6,1,3.8,,False
247,"3,3,3-Trichloro Propene","3,3,3-Trichloropropene",2233-00-3,17.7,15.5,3.4,,False
248,"3,4-Dichloro Alpha,Alpha,A-Trifluorotoluene","3,4-Dichloro-α,α,α-trifluorotoluene",328-84-7,20,4.7,2.4,,False
249,"3,4-Dichloronitrobenzene","3,4-Dichloronitrobenzene",99-54-7,20.1,7.2,4.1,,False
250,"3,4-Dichlorophenyl Acetonitrile","3,4-Dichlorophenylacetonitrile",3218-49-3,20.5,10.8,4.4,,False
251,"3,4-Dichlorotoluene","3,4-Dichlorotoluene",95-75-0,19.8,9.8,2.5,,False
252,"3,4-Dimethyl Phenol","3,4-Dimethylphenol",95-65-8,19.2,6,13.4,,True
253,"3,4-Dinitrophenol","3,4-Dinitrophenol",577-71-9,19.5,12.8,14.3,,False
254,"3,4-Epoxy-1-Butene","3,4-Epoxy-1-butene",930-22-3,16.6,7.7,7.4,,True
255,"3,5-Difluorobenzonitrile","3,5-Difluorobenzonitrile",64248-63-1,18.8,11.2,3.2,,False
256,"3,5-Dinitrophenol","3,5-Dinitrophenol",0586-11-08,19.5,12.9,14.4,,False
257,3-Azidopropene,3-Azidopropene,821-13-6,16.8,7.7,13.4,,False
258,3-Bromopropyne,3-Bromopropyne,106-96-7,18.1,6.5,5.3,,False
259,3-Butenenitrile,3-Butenenitrile,109-75-1,16.2,14.3,5.6,,False
260,3-Butoxybutanol,3-Butoxybutanol,,15.9,5.5,10.6,,True
261,3-Chloro Allyl Alcohol,3-Chloroallyl alcohol,29560-84-7,17.2,10.3,16.5,,False
262,3-Chloro-1-Propanol,3-Chloro-1-propanol,627-30-5,17.5,5.7,14.7,,False
263,3-Chloro-2-Methyl Propene,3-Chloro-2-methylpropene,563-47-3,16.2,5.6,2,,False
264,3-Chlorobenzylchloride,3-Chlorobenzyl chloride,620-20-2,19.9,9.3,2.6,,False
265,3-Chloropropionaldehyde,3-Chloropropionaldehyde,19434-65-2,17,13.3,8.2,,False
266,3-Chloropropionitrile,3-Chloropropionitrile,542-76-7,17.3,15.9,6.1,,False
267,3-Chloropropyne,3-Chloropropyne,624-65-7,16.7,7.4,2.3,,False
268,3-Ethoxy Propionaldehyde,3-Ethoxypropionaldehyde,2806-85-1,16,8.8,7.4,,True
269,3-Heptanol,3-Heptanol,589-82-2,15.9,5.4,11.7,,True
