old_name,dD,dP,dH,Solvents,CHO
hexyl acetate,16,2.9,6.2,Hexyl acetate,TRUE
isopropyl acetate,14.9,4.5,8.2,Isopropyl acetate,TRUE
methanol,15.2,12.3,22.3,Methanol,TRUE
methyl (Z)-9-octadecenoate,16.2,3.9,4.5,Methyl (Z)-9-octadecenoate,TRUE
methyl 2-hydroxybenzoate,16,8,12.3,Methyl 2-hydroxybenzoate,TRUE
methyl acetate,15.5,7.2,7.6,Methyl acetate,TRUE
methylcyclohexane,16,0,0,Methylcyclohexane,TRUE
morpholine,18.8,4.9,9.2,Morpholine,FALSE
"N,N-dimethylacetamide",16.8,11.5,10.2,"N,N-Dimethylacetamide",FALSE
"N,N-dimethylformamide",17.4,13.7,11.3,"N,N-Dimethylformamide",FALSE
N-methylpyrrolidone,18,12.3,7.2,N-Methylpyrrolidone,FALSE
naphthalene,19.2,2,5.9,Naphthalene,TRUE
nitrobenzene,20,8.6,4.1,Nitrobenzene,FALSE
nitroethane,16,15.5,4.5,Nitroethane,FALSE
nitromethane,15.8,18.8,5.1,Nitromethane,FALSE
nonane,15.7,0,0,Nonane,TRUE
octadecanoic acid,16.4,3.3,5.5,Octadecanoic acid,TRUE
octane,15.5,0,0,Octane,TRUE
oxepan-2-one,19.7,15,7.4,Oxepan-2-one,TRUE
oxolan-2-one,19,16.6,7.4,Oxolan-2-one,TRUE
pentane,14.5,0,0,Pentane,TRUE
pentanol,16,4.5,13.9,Pentanol,TRUE
pentyl acetate,15.8,3.9,6.8,Pentyl acetate,TRUE
pentyl propanoate,15.5,2.9,6.5,Pentyl propanoate,TRUE
phenol,18,5.9,14.9,Phenol,TRUE
propanol,15.9,6.8,17.4,Propanol,TRUE
propyl acetate,15.3,4.3,7.6,Propyl acetate,TRUE
propyl propanoate,15.5,3.7,7.4,Propyl propanoate,TRUE
pyridine,19,8.8,5.9,Pyridine,FALSE
quinoline,19.4,7,7.6,Quinoline,FALSE
styrene,18.6,1,4.1,Styrene,TRUE
sulfolane,18,18,9.8,Sulfolane,FALSE
tert-butyl acetate,14.3,3.5,5.9,tert-Butyl acetate,TRUE
tetrachloroethene,18.3,5.7,0,Tetrachloroethene,FALSE
tetrachloromethane,17.8,0,0.6,Tetrachloromethane,FALSE
tetrahydrofuran,16.8,5.7,8,Tetrahydrofuran,TRUE
tetrahydrofurfuryl alcohol,17.8,8.2,12.9,Tetrahydrofurfuryl alcohol,TRUE
tetrahydronaphthalene,19.6,2,2.9,Tetrahydronaphthalene,TRUE
thiolane-1-oxide,18.2,11,9.1,Thiolane-1-oxide,FALSE
toluene,18,1.4,2,Toluene,TRUE
trichloroethene,18,3.1,5.3,Trichloroethene,FALSE
trichloromethane,17.8,3.1,5.7,Trichloromethane,FALSE
triethylene glycol,16,12.5,18.6,Triethylene glycol,TRUE
trioctyl phosphate,16.4,2.1,5.1,Trioctyl phosphate,FALSE
water,15.6,16,42.4,Water ,TRUE
